"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,schema_sameAs,_schema_sameAs,ae_term_template,ae_term_post_template,konten_0_judul,konten_0_deskripsi,_konten_0_deskripsi,konten_0_judulul,konten_0_ul_0_li,_konten_0_ul_0_li,konten_0_ul_1_li,_konten_0_ul_1_li,konten_0_ul_2_li,_konten_0_ul_2_li,konten_0_ul_3_li,_konten_0_ul_3_li,konten_0_ul_4_li,_konten_0_ul_4_li,konten_0_ul_5_li,_konten_0_ul_5_li,konten_0_ul_6_li,_konten_0_ul_6_li,konten_0_ul_7_li,_konten_0_ul_7_li,konten_0_ul_8_li,_konten_0_ul_8_li,konten_0_ul_9_li,_konten_0_ul_9_li,konten_0_ul_10_li,_konten_0_ul_10_li,konten_0_ul_11_li,_konten_0_ul_11_li,konten_0_ul_12_li,_konten_0_ul_12_li,konten_0_ul_13_li,_konten_0_ul_13_li,konten_0_ul_14_li,_konten_0_ul_14_li,konten_0_ul_15_li,_konten_0_ul_15_li,konten_0_ul,_konten_0_ul,konten_0_gambar,konten_0_galeri,konten_0_deskripsi_0_paragraf,_konten_0_deskripsi_0_paragraf,konten_0_deskripsi_1_paragraf,_konten_0_deskripsi_1_paragraf,konten_0_deskripsi_2_paragraf,_konten_0_deskripsi_2_paragraf,konten_0_deskripsi_3_paragraf,_konten_0_deskripsi_3_paragraf,konten_0_deskripsi_4_paragraf,_konten_0_deskripsi_4_paragraf,"Image URL","Images Filename","Images Path","Images ID","Images Title","Images Caption","Images Description","Images Alt Text",Sampah,Konten,Kueri
5,Semarang,semarang,,,,,30,,field_taxonomy_sameAs,global,global,"Melayani [taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name]",5,field_641750e9fdae6,"Area Pelayanan kami di [taxonomy lokasi field=name]","[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Banyumanik",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Candisari",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Gajahmungkur",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Gayamsari",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Genuk",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Gunungpati",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Mijen",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Ngaliyan",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Pedurungan",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Semarang Barat",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Semarang Selatan",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Semarang Tengah",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Semarang Timur",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Semarang Utara",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Tembalang",field_641753ea6eef7,"[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Tugu",field_641753ea6eef7,16,field_641753d56eef6,187,"a:6:{i:0;s:3:""184"";i:1;s:3:""185"";i:2;s:3:""186"";i:3;s:3:""183"";i:4;s:3:""181"";i:5;s:3:""182"";}","[field site=name] {bergerak|merupakan usaha|sebagai ahli} {di|dalam} bidang [taxonomy subjek field=name] [taxonomy lokasi field=name]",field_64175252fdae7,"[field site=name] {didukung|disuport|memiliki} {team|tim} dan {manajemen|sistem} yang {professional|berkompeten|berpengalaman} {dan|serta} {sesuai dengan|didukung} kemampuan dan {SDM|tenaga} yang {terampil|handal} ",field_64175252fdae7,"Membangun dari {awal|dasar} ataupun renovasi [taxonomy kategori field=name] [taxonomy lokasi field=name] {impian|keinginan} {anda|kamu|customer|konsumen} akan lebih {cepat|baik} dan {mudah|memuaskan} jika {anda|Anda|konsumen|customer} {mempercayakan|percaya|mempercayakannya} {pada|kepada} [field site=name]",field_64175252fdae7,"{Selain|Dengan} {didukung  oleh|dukungan|kemampuan} {para|pada} {tenaga|sumber daya} {ahli|expert|berpengalaman|yang ahli} serta {manajemen|sistem} yang profesional [taxonomy lokasi field=name], kami akan {memberikan|memberi} anda {harga|biaya} yang terbaik tanpa mengurangi kualitas [taxonomy kategori field=name] {property|properti} anda",field_64175252fdae7,"{Keamanan|Kepercayaan} dalam {transaksi|pembiayaan} dan {ketepatan|tepat} waktu {dalam|saat|untuk} proses {membangun|pekerjaan}, {juga menjadi|merupakan} {perhatian serius|nilai lebih} kami",field_64175252fdae7,,,,,,,,,,"[{""field_641752affdae8"":""Melayani [taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name]"",""field_641750e9fdae6"":[{""field_64175252fdae7"":""[field site=name] {bergerak|merupakan usaha|sebagai ahli} {di|dalam} bidang [taxonomy subjek field=name] [taxonomy lokasi field=name]""},{""field_64175252fdae7"":""[field site=name] {didukung|disuport|memiliki} {team|tim} dan {manajemen|sistem} yang {professional|berkompeten|berpengalaman} {dan|serta} {sesuai dengan|didukung} kemampuan dan {SDM|tenaga} yang {terampil|handal} ""},{""field_64175252fdae7"":""Membangun dari {awal|dasar} ataupun renovasi [taxonomy kategori field=name] [taxonomy lokasi field=name] {impian|keinginan} {anda|kamu|customer|konsumen} akan lebih {cepat|baik} dan {mudah|memuaskan} jika {anda|Anda|konsumen|customer} {mempercayakan|percaya|mempercayakannya} {pada|kepada} [field site=name]""},{""field_64175252fdae7"":""{Selain|Dengan} {didukung  oleh|dukungan|kemampuan} {para|pada} {tenaga|sumber daya} {ahli|expert|berpengalaman|yang ahli} serta {manajemen|sistem} yang profesional [taxonomy lokasi field=name], kami akan {memberikan|memberi} anda {harga|biaya} yang terbaik tanpa mengurangi kualitas [taxonomy kategori field=name] {property|properti} anda""},{""field_64175252fdae7"":""{Keamanan|Kepercayaan} dalam {transaksi|pembiayaan} dan {ketepatan|tepat} waktu {dalam|saat|untuk} proses {membangun|pekerjaan}, {juga menjadi|merupakan} {perhatian serius|nilai lebih} kami""}],""field_641770e11f932"":""Area Pelayanan kami di [taxonomy lokasi field=name]"",""field_641753d56eef6"":[{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Banyumanik""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Candisari""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Gajahmungkur""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Gayamsari""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Genuk""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Gunungpati""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Mijen""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Ngaliyan""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Pedurungan""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Semarang Barat""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Semarang Selatan""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Semarang Tengah""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Semarang Timur""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Semarang Utara""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Tembalang""},{""field_641753ea6eef7"":""[taxonomy subjek field=name] [taxonomy kategori field=name] [taxonomy lokasi field=name] area Tugu""}],""field_64175419c02e2"":""187"",""field_64175429c02e3"":[""184"",""185"",""186"",""183"",""181"",""182""]}]",
18,Bogor,bogor,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Purwokerto,purwokerto,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Pekalongan,pekalongan,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Batang,batang,,,,,30,,,global,global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
